Entity,Code,Year,Oil Consumption - TWh,Gas Consumption - TWh,Coal Consumption - TWh
European Union (27),,2009,6941.8857421875,3933.273681640625,2766.013427734375
European Union (27),,2010,6882.10302734375,4228.09814453125,2902.249267578125
European Union (27),,2011,6675.77685546875,3890.439208984375,2985.25634765625
European Union (27),,2012,6403.5771484375,3821.74951171875,2971.6328125
European Union (27),,2013,6241.974609375,3745.064453125,2916.173583984375
European Union (27),,2014,6116.58837890625,3313.7783203125,2777.129150390625
European Union (27),,2015,6217.44970703125,3467.134765625,2771.2568359375
European Union (27),,2016,6335.88232421875,3681.61767578125,2661.107177734375
European Union (27),,2017,6444.98828125,3851.799560546875,2569.72412109375
European Union (27),,2018,6457.74462890625,3781.070556640625,2512.28759765625
European Union (27),,2019,6442.609375,3918.456787109375,2026.927734375
European Union (27),,2020,5621.9853515625,3803.42236328125,1658.0780029296875
European Union (27),,2021,5921.541015625,3966.248291015625,1871.224609375
Finland,FIN,1965,67.48548126220703,0,20.25982093811035
Finland,FIN,1966,81.86466979980469,0,18.804534912109375
Finland,FIN,1967,85.77259826660156,0,18.091896057128906
Finland,FIN,1968,97.2267074584961,0,21.788618087768555
Finland,FIN,1969,112.92221069335938,0,26.138051986694336
Finland,FIN,1970,126.97794342041016,0,26.5674991607666
Finland,FIN,1971,131.4188995361328,0,23.579444885253906
Finland,FIN,1972,139.85992431640625,0,26.157777786254883
Finland,FIN,1973,156.46224975585938,0,29.031944274902344
Finland,FIN,1974,136.3468780517578,4.44444465637207,29.585277557373047
Finland,FIN,1975,140.98915100097656,7.355000019073486,26.80500030517578
Finland,FIN,1976,151.263916015625,8.618332862854004,36.119998931884766
Finland,FIN,1977,148.2377471923828,8.765000343322754,36.420833587646484
Finland,FIN,1978,149.1116485595703,9.543333053588867,49.09416580200195
Finland,FIN,1979,157.88282775878906,9.509444236755371,47.31305694580078
Finland,FIN,1980,152.02914428710938,8.945555686950684,53.68805694580078
Finland,FIN,1981,145.41859436035156,7.11805534362793,32.99416732788086
Finland,FIN,1982,134.60008239746094,6.723333358764648,36.59638977050781
Finland,FIN,1983,125.0057601928711,6.520277976989746,39.750831604003906
Finland,FIN,1984,126.75379180908203,7.467777729034424,45.78277587890625
Finland,FIN,1985,128.0635223388672,9.475555419921875,58.02583312988281
Finland,FIN,1986,134.10484313964844,11.472222328186035,53.05527877807617
Finland,FIN,1987,133.54774475097656,15.172222137451172,59.426944732666016
Finland,FIN,1988,131.87692260742188,16.31999969482422,59.5
Finland,FIN,1989,131.6834716796875,21.399999618530273,58.206390380859375
Finland,FIN,1990,133.6554412841797,25.209999084472656,61.287498474121094
Finland,FIN,1991,132.63072204589844,26.56999969482422,61.211666107177734
Finland,FIN,1992,131.24066162109375,27.59000015258789,55.7136116027832
Finland,FIN,1993,124.88456726074219,28.510000228881836,63.68888854980469
Finland,FIN,1994,129.3904266357422,31.469999313354492,77.55638885498047
Finland,FIN,1995,117.56855010986328,32.68000030517578,68.6050033569336
Finland,FIN,1996,122.37474060058594,34.18944549560547,81.7469482421875
Finland,FIN,1997,120.58438110351562,33.63833236694336,77.42805480957031
Finland,FIN,1998,125.79058837890625,38.5363883972168,63.53888702392578
Finland,FIN,1999,127.17878723144531,38.58000183105469,61.565555572509766
Finland,FIN,2000,126.42577362060547,39.40999984741211,58.32722091674805
Finland,FIN,2001,124.03573608398438,42.7599983215332,70.48916625976562
Finland,FIN,2002,126.92369842529297,42.459999084472656,76.59111022949219
Finland,FIN,2003,130.9998779296875,47,95.59249877929688
Finland,FIN,2004,122.12345123291016,45.279998779296875,85.87944793701172
Finland,FIN,2005,126.67819213867188,41.43000030517578,55.168888092041016
Finland,FIN,2006,122.85047912597656,44.279998779296875,86.15389251708984
Finland,FIN,2007,123.89983367919922,40.959999084472656,81.35305786132812
Finland,FIN,2008,119.76417541503906,41.88055419921875,62.043609619140625
Finland,FIN,2009,112.83100891113281,37.380001068115234,62.489723205566406
Finland,FIN,2010,117.16831970214844,41.29999923706055,78.92500305175781
Finland,FIN,2011,114.58838653564453,36.119998931884766,64.11750030517578
Finland,FIN,2012,110.05728149414062,31.94499969482422,52.50166702270508
Finland,FIN,2013,114.50165557861328,29.706666946411133,58.04138946533203
Finland,FIN,2014,108.04682922363281,26.55666732788086,52.024723052978516
Finland,FIN,2015,108.58993530273438,22.878610610961914,44.404998779296875
Finland,FIN,2016,114.29884338378906,20.0766658782959,50.921112060546875
Finland,FIN,2017,110.74291229248047,18.324167251586914,46.64555740356445
Finland,FIN,2018,110.14822387695312,21.01277732849121,48.88138961791992
Finland,FIN,2019,109.32646179199219,20.33888816833496,41.04694366455078
Finland,FIN,2020,98.077880859375,20.718334197998047,31.521944046020508
Finland,FIN,2021,97.29049682617188,20.42361068725586,32.88568878173828
France,FRA,1965,637.3014526367188,50.0469970703125,481.13543701171875
France,FRA,1966,683.123046875,52.79650115966797,445.8140869140625
France,FRA,1967,784.7899780273438,60.339256286621094,440.0425720214844
France,FRA,1968,850.431640625,72.156494140625,423.1608581542969
France,FRA,1969,982.6675415039062,83.85049438476562,423.6030578613281
France,FRA,1970,1116.3309326171875,95.52925109863281,403.1711120605469
France,FRA,1971,1216.74853515625,113.22550201416016,369.4351501464844
France,FRA,1972,1350.9571533203125,133.8877410888672,328.6125793457031
France,FRA,1973,1506.025634765625,157.0364990234375,325.0417785644531
France,FRA,1974,1430.9876708984375,163.95925903320312,329.0066223144531
France,FRA,1975,1307.8751220703125,182.87001037597656,288.44207763671875
France,FRA,1976,1414.7838134765625,196.4532470703125,339.1308898925781
France,FRA,1977,1358.818359375,205.0852508544922,326.625244140625
France,FRA,1978,1416.0526123046875,218.7794952392578,340.78448486328125
France,FRA,1979,1408.64208984375,242.37600708007812,370.0985107421875
France,FRA,1980,1309.013671875,251.71975708007812,362.361083984375
France,FRA,1981,1181.7371826171875,255.7169952392578,330.2919921875
France,FRA,1982,1094.396240234375,245.77224731445312,337.7351989746094
France,FRA,1983,1068.1715087890625,261.802490234375,305.63641357421875
France,FRA,1984,1029.90576171875,266.99200439453125,292.26190185546875
France,FRA,1985,1012.8424682617188,285.79150390625,283.65570068359375
France,FRA,1986,1033.2645263671875,287.4152526855469,234.46080017089844
France,FRA,1987,1040.2767333984375,290.8160095214844,213.41050720214844
France,FRA,1988,1034.020263671875,289.3612365722656,208.40960693359375
France,FRA,1989,1061.673828125,283.1477355957031,226.90130615234375
France,FRA,1990,1077.647705078125,302.7535095214844,220.85369873046875
France,FRA,1991,1141.23193359375,331.666259765625,235.04229736328125
France,FRA,1992,1139.4677734375,330.989990234375,207.24659729003906
France,FRA,1993,1098.2132568359375,338.5147399902344,169.33279418945312
France,FRA,1994,1062.0352783203125,323.1502380371094,166.54159545898438
France,FRA,1995,1070.697021484375,343.9782409667969,170.4958038330078
France,FRA,1996,1093.0750732421875,380.1465148925781,181.6605987548828
France,FRA,1997,1101.11376953125,364.46923828125,159.09840393066406
France,FRA,1998,1141.11376953125,388.5947570800781,189.2200927734375
France,FRA,1999,1157.1685791015625,396.21148681640625,169.4490966796875
France,FRA,2000,1138.9818115234375,415.9635009765625,164.76129150390625
France,FRA,2001,1144.567626953125,436.6839904785156,144.18780517578125
France,FRA,2002,1112.9808349609375,435.9427490234375,148.60989379882812
France,FRA,2003,1114.92138671875,457.26824951171875,157.97935485839844
France,FRA,2004,1124.8521728515625,466.9252624511719,150.38844299316406
France,FRA,2005,1109.278076171875,477.1257629394531,156.1845245361328
France,FRA,2006,1106.107421875,460.8055114746094,144.31759643554688
France,FRA,2007,1078.2171630859375,447.6092529296875,149.40896606445312
France,FRA,2008,1057.442626953125,463.864501953125,140.40899658203125
France,FRA,2009,1015.3374633789062,447.3107604980469,125.02830505371094
France,FRA,2010,980.4591674804688,495.6445007324219,133.87088012695312
France,FRA,2011,959.3894653320312,430.1903381347656,113.60684967041016
France,FRA,2012,927.1686401367188,444.4429626464844,128.7003631591797
France,FRA,2013,915.1279296875,451.4315490722656,134.49423217773438
France,FRA,2014,885.45361328125,379.08349609375,100.44779205322266
France,FRA,2015,885.4328002929688,407.51763916015625,99.8741455078125
France,FRA,2016,879.3369140625,445.2994079589844,97.52973937988281
